"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Barrinha";"2016";"18";"58,39";"6";"19,46";"2";"6,49";3505609
"Barrinha";"2017";"11";"35,26";"2";"6,41";"4";"12,82";3505609
"Barueri";"2013";"158";"63,73";"50";"20,17";"34";"13,71";3505708
"Barueri";"2014";"178";"71,06";"53";"21,16";"60";"23,95";3505708
"Barueri";"2015";"166";"65,6";"36";"14,23";"58";"22,92";3505708
"Barueri";"2016";"145";"56,8";"29";"11,36";"30";"11,75";3505708
"Barueri";"2017";"168";"65,24";"40";"15,53";"31";"12,04";3505708
"Bastos";"2013";"10";"49,18";"1";"4,92";"4";"19,67";3505807
"Bastos";"2014";"19";"93,61";"2";"9,85";"10";"49,27";3505807
"Bastos";"2015";"11";"54,3";"2";"9,87";"7";"34,55";3505807
"Bastos";"2016";"9";"44,41";"1";"4,93";"4";"19,74";3505807
"Bastos";"2017";"13";"64,12";"1";"4,93";"7";"34,52";3505807
"Batatais";"2013";"26";"45,1";"3";"5,2";"7";"12,14";3505906
"Batatais";"2014";"21";"36,17";"2";"3,44";"6";"10,33";3505906
"Batatais";"2015";"36";"61,56";"1";"1,71";"6";"10,26";3505906
"Batatais";"2016";"46";"78,2";"6";"10,2";"12";"20,4";3505906
"Batatais";"2017";"27";"45,63";"5";"8,45";"8";"13,52";3505906
"Bauru";"2013";"207";"59,08";"35";"9,99";"63";"17,98";3506003
"Bauru";"2014";"190";"53,88";"45";"12,76";"65";"18,43";3506003
"Bauru";"2015";"152";"42,83";"27";"7,61";"42";"11,83";3506003
"Bauru";"2016";"169";"47,37";"27";"7,57";"48";"13,45";3506003
"Bauru";"2017";"173";"48,24";"26";"7,25";"39";"10,88";3506003
"Bebedouro";"2013";"47";"62,8";"9";"12,03";"23";"30,73";3506102
"Bebedouro";"2014";"47";"62,86";"7";"9,36";"14";"18,72";3506102
